joint,movement,direction
wrist,flexion,upward
wrist,extension,downward
wrist,flexion,downward
wrist,extension,upward
wrist,flexion,inward
wrist,extension,outward
wrist,supination (rotation),inward
wrist,pronation (rotation),outward
wrist,adduction (twist),outward
wrist,abduction (twist),inward
wrist,adduction (twist),inward
wrist,abduction (twist),outward
wrist,adduction (twist),downward
wrist,abduction (twist),upward
,,
elbow,flexion,upward
elbow,extension,downward
elbow,flexion,inward
elbow,extension,outward
elbow,extension,forward
elbow,flexion,backward
elbow,flexion,downward
elbow,extension,downward
elbow,flexion,upward
elbow,extension,inward
elbow,flexion,outward
,,
shoulder,flexion,upward
shoulder,extension,downward
shoulder,abduction,outward
shoulder,adduction,inward
shoulder,rotation,inward
shoulder,rotation,outward
,,
thumb,flexion,inward
thumb,extension,outward
thumb,abduction,outward
thumb,adduction,inward
,,
index,flexion,upward
index,extension,downward
index,abduction,outward
index,adduction,inward
index,flexion,inward
index,extension,outward
index,abduction,upward
index,adduction,downward
index,flexion,downward
index,extension,upward
index,abduction,inward
index,adduction,outward
,,
middle,flexion,upward
middle,extension,downward
middle,abduction,outward
middle,adduction,inward
middle,flexion,inward
middle,extension,outward
middle,abduction,upward
middle,adduction,downward
middle,flexion,downward
middle,extension,upward
middle,abduction,inward
middle,adduction,outward
,,
ring,flexion,upward
ring,extension,downward
ring,abduction,outward
ring,adduction,inward
ring,flexion,inward
ring,extension,outward
ring,abduction,upward
ring,adduction,downward
ring,flexion,downward
ring,extension,upward
ring,abduction,inward
ring,adduction,outward
,,
pinky,flexion,upward
pinky,extension,downward
pinky,abduction,outward
pinky,adduction,inward
pinky,flexion,inward
pinky,extension,outward
pinky,abduction,upward
pinky,adduction,downward
pinky,flexion,downward
pinky,extension,upward
pinky,abduction,inward
pinky,adduction,outward
,,
grip,flexion,upward
grip,flexion,inward
grip,flexion,downward
grip,flexion,forwad
release,extension,upward
release,extension,outward
release,extension,downward
release,extension,backward
,,
,,
push,flexion,forward
pull,extension,backward
push,flexion,upward
pull,extension,downward
push,flexion,downward
pull,extension,upward
push,flexion,inward
pull,extension,outward
,,
,,
knee,flexion,downward
knee,extension,upward
,,
ankle,supination,outward
ankle,pronation,inward
ankle,flexion,upward
ankle,extension,downward
ankle,eversion,outward
ankle,inversion,inward
,,
neck,flexion,downward
neck,extension,upward
neck,rotation,clockwise
neck,rotation,counterclockwise
neck,lateral,left
neck,lateral,right
