joint-list,,,biomechanical-knowledge,,,,EMS parameters (per-participant pre-calibrated),,,,,,
joint,movement,direction,range_max,parent joint,parent movement,parent direction,channel-left,channel-right,pulse_width,intensity-left,intensity-right,pulse_count,delay
wrist,flexion,upward,60,elbow,flexion,upward,1,2,250,8,8,20,0.001
wrist,extension,downward,60,elbow,flexion,downward,3,4,250,8,8,20,0.001
wrist,flexion,downward,60,shoulder,extension,downward,1,2,250,8,8,20,0.001
wrist,extension,upward,60,shoulder,flexion,upward,3,4,250,8,8,20,0.001
wrist,flexion,inward,60,shoulder,rotation,inward,1,2,250,8,8,20,0.001
wrist,extension,outward,60,shoulder,rotation,outward,3,4,250,8,8,20,0.001
,,,,,,,,,,,,,
wrist,supination (rotation),inward,80,shoulder,adduction,inward,5,6,300,12,12,20,0.001
wrist,pronation (rotation),outward,80,shoulder,abduction,outward,7,8,300,12,12,20,0.001
,,,,,,,,,,,,,
wrist,adduction (twist),outward,20,shoulder,adduction,inward,9,10,250,9,9,40,0.001
wrist,abduction (twist),inward,20,elbow,flexion,inward,11,12,250,9,9,40,0.001
wrist,adduction (twist),inward,20,elbow,flexion,inward,9,10,250,9,9,40,0.001
wrist,abduction (twist),outward,20,shoulder,adduction,inward,11,12,250,9,9,40,0.001
wrist,adduction (twist),downward,20,elbow,extension,downard,9,10,250,9,9,40,0.001
wrist,abduction (twist),upward,20,elbow,flexion,upward,11,12,250,9,9,40,0.001
,,,,,,,,,,,,,
elbow,flexion,upward,140,shoulder,flexion,upward,13,14,300,16,16,40,0.001
elbow,extension,downward,-140,shoulder,extension,downward,15,16,300,16,16,40,0.001
elbow,flexion,inward,140,shoulder,adduction,inward,13,14,300,16,16,40,0.001
elbow,extension,outward,-140,shoulder,abduction,outward,15,16,300,16,16,40,0.001
elbow,extension,forward,-140,shoulder,adduction,inward,15,16,300,16,16,40,0.001
elbow,flexion,backward,140,shoulder,abduction,outward,13,14,300,16,16,40,0.001
elbow,flexion,downward,140,shoulder,extension,downward,13,14,300,16,16,40,0.001
elbow,extension,downward,-140,shoulder,adduction,inward,15,16,300,16,16,40,0.001
elbow,flexion,upward,140,shoulder,abduction,outward,13,14,300,16,16,40,0.001
elbow,extension,inward,-140,shoulder,adduction,inward,15,16,300,16,16,40,0.001
elbow,flexion,outward,140,shoulder,abduction,outward,13,14,300,16,16,40,0.001
,,,,,,,,,,,,,
shoulder,flexion,upward,180,,,,17,18,350,24,24,50,0.001
shoulder,extension,downward,50,,,,19,20,350,24,24,50,0.001
shoulder,abduction,outward,180,,,,21,22,350,24,24,50,0.001
shoulder,adduction,inward,130,,,,23,24,350,24,24,50,0.001
shoulder, medial (rotation),inward,90,,,,25,26,350,23,23,50,0.001
shoulder, lateral (rotation),outward,90,,,,27,28,350,23,23,50,0.001
,,,,,,,,,,,,,
thumb,flexion,inward,50,wrist,flexion,,29,30,250,8,8,20,0.001
thumb,extension,outward,-50,wrist,extension,,31,32,250,8,8,20,0.001
thumb,abduction,outward,65,wrist,flexion,,33,34,250,8,8,20,0.001
thumb,adduction,inward,30,wrist,extension,,35,36,250,8,8,20,0.001
,,,,,,,,,,,,,
